location,originx2,spp,ht_in18,ht_cm18,n.x,ht_in19,ht_cm19,n.y,grow_in,grow_cm
control,sprout,ab,16.629319094479502,42.238470499977936,125,29.103150787696922,73.9220030007502,125,12.47383169321742,31.68353250077226
interior,sprout,ab,14.856513409961686,37.73554406130268,69,28.596743295019156,72.63572796934866,69,13.74022988505747,34.90018390804598
perimeter,sprout,ab,15.383358471593766,39.07373051784816,65,28.930618401206637,73.48377073906485,65,13.54725992961287,34.41004022121669
control,singl/unk,ab,28.821428571428573,73.20642857142857,11,37.607142857142854,95.52214285714285,11,8.785714285714281,22.31571428571428
interior,singl/unk,ab,33.23504273504273,84.41700854700855,28,44.126068376068375,112.08021367521367,28,10.891025641025642,27.66320512820512
perimeter,singl/unk,ab,40.879629629629626,103.83425925925927,16,50.851851851851855,129.1637037037037,16,9.972222222222229,25.329444444444434
control,sprout,rm,30.86038961038961,78.38538961038961,25,44.53733766233766,113.12483766233765,25,13.676948051948052,34.739448051948045
interior,sprout,rm,51.77777777777778,131.51555555555555,18,68.09027777777777,172.94930555555555,18,16.312499999999993,41.43375
perimeter,sprout,rm,56.32744107744108,143.07170033670033,38,73.77272727272727,187.38272727272727,38,17.445286195286187,44.311026936026934
control,singl/unk,rm,14.982142857142858,38.05464285714286,14,26,66.04,14,11.017857142857142,27.985357142857147
interior,singl/unk,rm,20.33470695970696,51.650155677655675,32,34.988247863247864,88.87014957264958,32,14.653540903540904,37.219993894993905
perimeter,singl/unk,rm,22.414772727272727,56.93352272727273,23,36.24621212121212,92.06537878787879,23,13.831439393939391,35.131856060606054
control,sprout,ro,27.6875,70.32625,6,38.0625,96.67875000000001,6,10.375,26.352500000000006
interior,sprout,ro,19.75,50.165,2,37,93.98,2,17.25,43.815000000000005
perimeter,sprout,ro,41.225,104.7115,7,64.025,162.6235,7,22.800000000000004,57.912000000000006
control,singl/unk,ro,18.09375,45.958125,28,23.76851851851852,60.37203703703704,28,5.674768518518519,14.413912037037036
interior,singl/unk,ro,26.66785714285714,67.73635714285714,39,37.78809523809524,95.98176190476191,39,11.120238095238097,28.245404761904766
perimeter,singl/unk,ro,18.95,48.133,28,29.84166666666667,75.79783333333333,28,10.89166666666667,27.664833333333327
control,sprout,sb,24.733333333333334,62.82266666666667,7,43.733333333333334,111.08266666666667,7,19,48.26
interior,sprout,sb,37.5,95.25,1,77,195.58,1,39.5,100.33000000000001
perimeter,sprout,sb,40.8125,103.66375000000001,6,75.125,190.8175,6,34.3125,87.15374999999999
control,singl/unk,sb,15.409967571257894,39.14131763099505,70,34.84289127837515,88.50094384707288,70,19.432923707117254,49.35962621607783
interior,singl/unk,sb,14.897058823529411,37.8385294117647,34,44.3235294117647,112.58176470588235,34,29.42647058823529,74.74323529411765
perimeter,singl/unk,sb,20.423076923076923,51.87461538461538,28,51.50961538461539,130.8344230769231,28,31.086538461538463,78.9598076923077
control,sprout,sm,14,35.56,1,30,76.2,1,16,40.64
interior,sprout,sm,30.414529914529915,77.25290598290599,45,51.56581196581197,130.9771623931624,45,21.151282051282053,53.7242564102564
perimeter,sprout,sm,36.00952380952381,91.46419047619048,18,58.028571428571425,147.39257142857144,18,22.019047619047612,55.92838095238096
control,singl/unk,sm,16.5,41.91,3,20,50.8,3,3.5,8.89
interior,singl/unk,sm,12.43939393939394,31.596060606060604,16,21.685606060606062,55.0814393939394,16,9.246212121212123,23.485378787878794
perimeter,singl/unk,sm,22,55.88,6,25.555555555555557,64.91111111111111,6,3.555555555555557,9.031111111111109
control,sprout,wa,41.166666666666664,104.56333333333333,4,45.833333333333336,116.41666666666667,4,4.666666666666671,11.853333333333339
interior,sprout,wa,34.166666666666664,86.78333333333333,6,57,144.78,6,22.833333333333336,57.99666666666667
perimeter,sprout,wa,41.729166666666664,105.99208333333334,10,70.91666666666667,180.12833333333333,10,29.187500000000007,74.13624999999999
control,singl/unk,wa,14.332671957671957,36.40498677248677,51,23.27612433862434,59.12135582010582,51,8.943452380952381,22.716369047619047
interior,singl/unk,wa,20.41243961352657,51.847596618357485,81,40.21256038647343,102.13990338164251,81,19.80012077294686,50.292306763285026
perimeter,singl/unk,wa,21.89987012987013,55.62567012987013,43,40.588398268398265,103.0945316017316,43,18.688528138528135,47.46886147186147
