describ,age,TRMT,type,averageL_tpa,average_tpha,PCT_pts_present,wall_denom
type_summ,6,outside,commercial,752,1858,41,46
type_summ,6,outside,diversity,608,1501,52,46
type_summ,6,outside,interfering,1658,4095,61,46
type_summ,6,outside,other,391,966,15,46
type_summ,6,outside,sb,1786,4410,67,46
type_summ,6,outside,total,5195,12831,NA,NA
type_summ,6,inside,commercial,2398,5923,77,105
type_summ,6,inside,diversity,2317,5722,67,105
type_summ,6,inside,interfering,2453,6059,65,105
type_summ,6,inside,other,91,224,8,105
type_summ,6,inside,sb,626,1546,40,105
type_summ,6,inside,total,7884,19473,NA,NA
type_summ,5,outside,commercial,371,917,24,80
type_summ,5,outside,diversity,402,994,33,46
type_summ,5,outside,interfering,539,1331,40,80
type_summ,5,outside,other,211,520,9,46
type_summ,5,outside,sb,880,2174,44,80
type_summ,5,outside,total,2404,5937,NA,NA
type_summ,5,inside,commercial,1138,2810,57,166
type_summ,5,inside,diversity,1332,3289,48,166
type_summ,5,inside,interfering,2360,5830,63,166
type_summ,5,inside,other,56,137,7,105
type_summ,5,inside,sb,838,2069,36,166
type_summ,5,inside,total,5723,14135,NA,NA
type_summ,4,outside,commercial,222,549,12,80
type_summ,4,outside,diversity,229,566,16,80
type_summ,4,outside,interfering,290,716,29,80
type_summ,4,outside,sb,306,756,24,80
type_summ,4,outside,total,1047,2587,NA,NA
type_summ,4,inside,commercial,828,2044,43,166
type_summ,4,inside,diversity,1330,3286,43,166
type_summ,4,inside,interfering,2106,5203,60,166
type_summ,4,inside,other,35,86,5,77
type_summ,4,inside,sb,601,1484,31,166
type_summ,4,inside,total,4901,12104,NA,NA
type_summ,3,outside,commercial,97,240,7,46
type_summ,3,outside,diversity,198,489,14,80
type_summ,3,outside,interfering,90,222,10,127
type_summ,3,outside,sb,80,197,11,80
type_summ,3,outside,total,465,1149,NA,NA
type_summ,3,inside,commercial,442,1093,31,359
type_summ,3,inside,diversity,995,2457,42,359
type_summ,3,inside,interfering,1472,3637,55,359
type_summ,3,inside,other,121,300,7,298
type_summ,3,inside,sb,510,1259,29,359
type_summ,3,inside,total,3541,8745,NA,NA
type_summ,2,outside,diversity,23,56,3,34
type_summ,2,outside,interfering,97,240,12,66
type_summ,2,outside,sb,45,112,6,34
type_summ,2,outside,total,165,408,NA,NA
type_summ,2,inside,commercial,216,534,14,254
type_summ,2,inside,diversity,551,1360,27,254
type_summ,2,inside,interfering,1143,2823,46,254
type_summ,2,inside,other,35,88,4,193
type_summ,2,inside,sb,174,430,17,254
type_summ,2,inside,total,2119,5235,NA,NA
type_summ,1,outside,interfering,24,59,6,32
type_summ,1,outside,total,24,59,NA,NA
type_summ,1,inside,commercial,53,132,5,193
type_summ,1,inside,diversity,237,585,17,193
type_summ,1,inside,interfering,259,640,20,155
type_summ,1,inside,other,17,43,2,131
type_summ,1,inside,sb,65,160,9,131
type_summ,1,inside,total,631,1560,NA,NA
